field	value
experiment	b1-04-authorization-record-codecs
run_mode	retained
sequence	04
source_commit	50f40171d6177c3d1e490b1fdb5f6163323b2cd5
source_tree	5a66988735c707b188d9d1fe03a3ed3b4ff7a273
baseline_cargo_lock_sha256	0fd6c7897d08e6a0f4e436caaf319ba24ebc32236434010b5c6ae3507f663147
measured_cargo_lock_sha256	0fd6c7897d08e6a0f4e436caaf319ba24ebc32236434010b5c6ae3507f663147
switch_kind	patch
switch_value	scripts/ci/wasm-ablation-patches/b1-04-authorization-record-codecs.patch
switch_sha256	0acbbfc0677aaab1e078e6ba8de203a2da0470d6e4a55e66e209e41c89f13f2b
switch_diff_sha256	42ed7228ef4fa9c09ffa6c67acde6a7e8dd766bc0c950b0299c0c5e04c434be9
immediate_baseline	b1-01-current-baseline
artifact_selectors	canonical,runtime_probe
measured_artifacts	canonical_app,canonical_index_hub,canonical_test,canonical_user_hub,canonical_scale_hub,canonical_index_child,canonical_user_shard,canonical_scale_replica,canonical_root,canonical_fleet_coordinator,canonical_wasm_store,runtime_probe
instruction_evidence	build-only stable-codec attribution; no persistence or authorization parity claim
source_owners	crates/canic-core/src/model/auth;crates/canic-core/src/storage/stable/auth;crates/canic-core/src/ops/storage/auth;crates/canic-core/src/ops/auth;crates/canic-core/src/workflow/runtime/auth
runner_source_sha256	4d3b8c6ee837052f2c0f635e5757e16c4ef3c289465fecab7f195019fc15860f
build_harness_source_sha256	58f2453cae5124246666f8b53eca37040ef3bd2c829e624d7dec0e3864056f91
build_harness_cargo_lock_sha256	bc1c13d66e8fad878a3b3d443a8a5c2d2d64bb45b8f7dfb894e004b93f5d0b62
replica_function_counter_identity	canic-b1-replica-function-count/v1	ic_source_commit=2f8dc21e2e5c37a4cae7f65d2a4230ac8f143e5a	quantity=local-defined-functions	limit=50000
replica_function_counter_source_sha256	bcab127a0a188a1f013eb70c09e595b023fecd6ff55cddaa9a2eb1e40abb6e01
replica_function_counter_executable_sha256	1df29feb74559db6ae683d0e60f4f6a164f664acb568d3d5436321f42d7d14e0
frozen_ic_validator_commit	2f8dc21e2e5c37a4cae7f65d2a4230ac8f143e5a
ic_replica_max_defined_functions	50000
ic_replica_required_function_reserve	2500
retention_eligible	yes
determinism_repetitions	2
determinism_claim	pass
execution_path_sha256	ab90a374cc2ba672732e791f0100410a545f8f5e7d8cc00abfad38ad713fe411
cargo_version	cargo 1.97.1 (c980f4866 2026-06-30)
rustc_version	rustc 1.97.1 (8bab26f4f 2026-07-14)
ic_wasm_version	ic-wasm 0.11.1
didc_version	didc 0.5.4
wasm_objdump_version	1.0.34
wasm_validate_version	1.0.34
